n_qubits,depth,gate_count,two_qubit_ratio,two_qubit_gates,fidelity,robust_fidelity,total_error_rate,classical_shadow_expr,entropy_expressibility,angle_entropy,entropy,concentration,state_exploration,entanglement_potential,circuit_complexity,quantum_volume,performance_per_complexity,shot_efficiency,expressibility_ratio,complexity_per_qubit,performance_score
60,2,0,0.100000,0,0.026316,0.959704,0.973684,24.098944,1.400429,1.400429,0,0,0.000000,0.200000,0,4,959703.947368,959.703947,0.058112,0.000000,1.343997
60,2,0,0.100000,0,0.026316,0.959704,0.973684,24.098944,1.400429,1.400429,0,0,0.000000,0.200000,0,4,959703.947368,959.703947,0.058112,0.000000,1.343997
10,2,0,0.100000,0,0.151316,0.406250,0.848684,34.480725,1.349673,1.349673,0,0,0.000000,0.200000,0,4,406250.000000,406.250000,0.039143,0.000000,0.548305
10,2,0,0.100000,0,0.151316,0.406250,0.848684,34.480725,1.349673,1.349673,0,0,0.000000,0.200000,0,4,406250.000000,406.250000,0.039143,0.000000,0.548305
10,3,0,0.500000,0,0.107730,0.405428,0.892270,35.360000,1.342026,1.342026,0,0,0.000000,1.500000,0,9,405427.631579,405.427632,0.037953,0.000000,0.544094
10,3,0,0.500000,0,0.107730,0.405428,0.892270,35.360000,1.342026,1.342026,0,0,0.000000,1.500000,0,9,405427.631579,405.427632,0.037953,0.000000,0.544094
5,4,0,0.100000,0,0.105263,0.338816,0.894737,7.491752,1.328868,1.328868,0,0,0.000000,0.400000,0,16,338815.789474,338.815789,0.177378,0.000000,0.450242
5,4,0,0.100000,0,0.105263,0.338816,0.894737,7.491752,1.328868,1.328868,0,0,0.000000,0.400000,0,16,338815.789474,338.815789,0.177378,0.000000,0.450242
5,4,0,0.100000,0,0.225329,0.489309,0.774671,7.060462,1.323369,1.323369,0,0,0.000000,0.400000,0,16,489309.210526,489.309211,0.187434,0.000000,0.647536
5,4,0,0.100000,0,0.225329,0.489309,0.774671,7.060462,1.323369,1.323369,0,0,0.000000,0.400000,0,16,489309.210526,489.309211,0.187434,0.000000,0.647536
7,4,0,0.300000,0,0.104441,0.370066,0.895559,18.636148,1.314916,1.314916,0,0,0.000000,1.200000,0,16,370065.789474,370.065789,0.070557,0.000000,0.486606
7,4,0,0.300000,0,0.104441,0.370066,0.895559,18.636148,1.314916,1.314916,0,0,0.000000,1.200000,0,16,370065.789474,370.065789,0.070557,0.000000,0.486606
10,4,0,0.500000,0,0.090461,0.336349,0.909539,28.972486,1.312417,1.312417,0,0,0.000000,2.000000,0,16,336348.684211,336.348684,0.045299,0.000000,0.441430
10,4,0,0.500000,0,0.090461,0.336349,0.909539,28.972486,1.312417,1.312417,0,0,0.000000,2.000000,0,16,336348.684211,336.348684,0.045299,0.000000,0.441430
5,4,0,0.300000,0,0.165296,0.537829,0.834704,8.673646,1.307735,1.307735,0,0,0.000000,1.200000,0,16,537828.947368,537.828947,0.150771,0.000000,0.703338
5,4,0,0.300000,0,0.165296,0.537829,0.834704,8.673646,1.307735,1.307735,0,0,0.000000,1.200000,0,16,537828.947368,537.828947,0.150771,0.000000,0.703338
7,4,0,0.300000,0,0.037007,0.154605,0.962993,15.482375,1.306665,1.306665,0,0,0.000000,1.200000,0,16,154605.263158,154.605263,0.084397,0.000000,0.202017
